2026-03-10 02:27:38.589 | WARNING  | __main__:147 |   Features skipped 2022-04-20: Clean parquet missing for 2022-04-20: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-20.parquet
2026-03-10 02:27:38.589 | WARNING  | __main__:147 |   Features skipped 2022-04-21: Clean parquet missing for 2022-04-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-21.parquet
2026-03-10 02:27:38.590 | WARNING  | __main__:147 |   Features skipped 2022-04-22: Clean parquet missing for 2022-04-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-22.parquet
2026-03-10 02:27:38.590 | WARNING  | __main__:147 |   Features skipped 2022-04-25: Clean parquet missing for 2022-04-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-25.parquet
2026-03-10 02:27:38.591 | WARNING  | __main__:147 |   Features skipped 2022-04-26: Clean parquet missing for 2022-04-26: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-26.parquet
2026-03-10 02:27:38.591 | WARNING  | __main__:147 |   Features skipped 2022-04-27: Clean parquet missing for 2022-04-27: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-27.parquet
2026-03-10 02:27:38.591 | WARNING  | __main__:147 |   Features skipped 2022-04-28: Clean parquet missing for 2022-04-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-28.parquet
2026-03-10 02:27:38.592 | WARNING  | __main__:147 |   Features skipped 2022-04-29: Clean parquet missing for 2022-04-29: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\04\clean_2022-04-29.parquet
2026-03-10 02:27:38.592 | WARNING  | __main__:147 |   Features skipped 2022-05-02: Clean parquet missing for 2022-05-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-02.parquet
2026-03-10 02:27:38.592 | WARNING  | __main__:147 |   Features skipped 2022-05-04: Clean parquet missing for 2022-05-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-04.parquet
2026-03-10 02:27:38.593 | WARNING  | __main__:147 |   Features skipped 2022-05-05: Clean parquet missing for 2022-05-05: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-05.parquet
2026-03-10 02:27:38.593 | WARNING  | __main__:147 |   Features skipped 2022-05-06: Clean parquet missing for 2022-05-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-06.parquet
2026-03-10 02:27:38.593 | WARNING  | __main__:147 |   Features skipped 2022-05-09: Clean parquet missing for 2022-05-09: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-09.parquet
2026-03-10 02:27:38.594 | WARNING  | __main__:147 |   Features skipped 2022-05-10: Clean parquet missing for 2022-05-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-10.parquet
2026-03-10 02:27:38.594 | WARNING  | __main__:147 |   Features skipped 2022-05-11: Clean parquet missing for 2022-05-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-11.parquet
2026-03-10 02:27:38.594 | WARNING  | __main__:147 |   Features skipped 2022-05-12: Clean parquet missing for 2022-05-12: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-12.parquet
2026-03-10 02:27:38.595 | WARNING  | __main__:147 |   Features skipped 2022-05-13: Clean parquet missing for 2022-05-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-13.parquet
