2026-03-10 02:27:38.946 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-04.parquet
2026-03-10 02:27:38.946 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-05.parquet
2026-03-10 02:27:38.946 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-06.parquet
2026-03-10 02:27:38.946 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-07.parquet
2026-03-10 02:27:38.947 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-08.parquet
2026-03-10 02:27:38.947 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-11.parquet
2026-03-10 02:27:38.947 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-12.parquet
2026-03-10 02:27:38.947 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-13.parquet
2026-03-10 02:27:38.947 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-18.parquet
2026-03-10 02:27:38.948 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-19.parquet
2026-03-10 02:27:38.948 | WARNING  | normalization_engine:405 | Skipping missing feature file: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\features\2022\04\features_2022-04-20.parquet
