2026-03-10 02:27:38.206 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-01: Raw parquet missing for 2022-04-01: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-01.parquet
2026-03-10 02:27:38.206 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-04: Raw parquet missing for 2022-04-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-04.parquet
2026-03-10 02:27:38.207 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-05: Raw parquet missing for 2022-04-05: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-05.parquet
2026-03-10 02:27:38.207 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-06: Raw parquet missing for 2022-04-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-06.parquet
2026-03-10 02:27:38.207 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-07: Raw parquet missing for 2022-04-07: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-07.parquet
2026-03-10 02:27:38.207 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-08: Raw parquet missing for 2022-04-08: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-08.parquet
2026-03-10 02:27:38.208 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-11: Raw parquet missing for 2022-04-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-11.parquet
2026-03-10 02:27:38.208 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-12: Raw parquet missing for 2022-04-12: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-12.parquet
2026-03-10 02:27:38.208 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-13: Raw parquet missing for 2022-04-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-13.parquet
2026-03-10 02:27:38.209 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-18: Raw parquet missing for 2022-04-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-18.parquet
2026-03-10 02:27:38.209 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-19: Raw parquet missing for 2022-04-19: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-19.parquet
2026-03-10 02:27:38.209 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-20: Raw parquet missing for 2022-04-20: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-20.parquet
2026-03-10 02:27:38.210 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-21: Raw parquet missing for 2022-04-21: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-21.parquet
2026-03-10 02:27:38.210 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-22: Raw parquet missing for 2022-04-22: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-22.parquet
2026-03-10 02:27:38.210 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-25: Raw parquet missing for 2022-04-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-25.parquet
2026-03-10 02:27:38.210 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-26: Raw parquet missing for 2022-04-26: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-26.parquet
2026-03-10 02:27:38.211 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-27: Raw parquet missing for 2022-04-27: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-27.parquet
2026-03-10 02:27:38.211 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-28: Raw parquet missing for 2022-04-28: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-28.parquet
